,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
402,AARTIIND,1,4,Expanding,,59.787657597876624,990.4,0
403,GAEL,1,43,Expanding,,74.49194113524881,166.8,0
404,RCF,1,76,Contracting,,39.150943396226424,46.7,-1
405,FACT,1,79,Contracting,,44.10876132930512,47.1,-1
406,KOPRAN,1,49,Expanding,,72.91139240506331,47.9,0
407,AARTIDRUGS,1,79,Expanding,,83.57976014457041,1740.25,-1
408,BODALCHEM,1,42,Contracting,,57.73420479302835,73.6,-1
409,VIMTALABS,1,42,Expanding,,56.98729582577132,104.25,0
410,MARKSANS,1,80,Expanding,,60.91549295774648,39.65,0
411,IPCALAB,1,36,Expanding,,57.86650774731824,1874.6,0
412,NEULANDLAB,1,34,Expanding,,72.02590454737434,781.05,0
413,SOTL,-1,14,Contracting,,20.168439716312008,638.0,-1
414,SUNPHARMA,1,3,Expanding,,57.601426660722254,531.7,0
415,HIKAL,1,76,Expanding,,81.28544423440451,155.6,-1
416,AUROPHARMA,1,78,Expanding,,49.504950495049506,874.6,0
417,NATCOPHARM,1,40,Expanding,,70.25505134150383,782.65,0
418,PANAMAPET,-1,2,Contracting,,37.39130434782607,41.05,-1
419,BALPHARMA,-1,17,Expanding,,43.043478260869584,42.9,-1
420,FILATEX,-1,30,Expanding,,46.66666666666668,26.45,-1
421,MERCATOR,,,,,,0.0,0
422,MPHASIS,1,63,Expanding,,78.7647389107243,1157.95,0
423,GANESHHOUC,,,,,,0.0,0
424,NMDC,1,11,Expanding,,49.89384288747343,83.8,0
425,PATINTLOG,-1,7,Contracting,,30.656934306569354,19.15,-1
426,ALPHAGEO,-1,19,Contracting,,28.047571853320093,166.15,-1
427,LIBERTSHOE,1,2,Contracting,,53.393665158371036,133.65,-1
428,ELECTHERM,-1,20,Expanding,,17.43119266055048,97.9,-1
429,BLUEDART,1,9,Contracting,,62.5836680053547,2066.35,-1
430,MIRZAINT,1,44,Contracting,,51.54639175257732,47.35,-1
431,TFCILTD,-1,13,Contracting,,35.80246913580244,35.05,-1
432,BIL,-1,1,Contracting,,31.964809384164212,120.4,-1
433,KAMATHOTEL,1,3,Contracting,,7.407407407407391,31.0,-1
434,SANDESH,-1,14,Contracting,,45.95131644311973,474.7,-1
435,GOLDIAM,1,46,Expanding,,47.89081885856077,112.0,0
436,GREENPLY,-1,11,Contracting,,20.955882352941217,85.85,-1
437,SEAMECLTD,1,45,Contracting,,51.05184072126223,402.95,-1
438,SARLAPOLY,-1,6,Contracting,,39.08629441624365,15.85,-1
439,LAOPALA,-1,2,Contracting,,33.91442155309031,180.75,-1
440,VENUSREM,,,,,,0.0,0
441,GUJALKALI,-1,10,Contracting,,28.04314329738051,313.6,-1
442,INDIACEM,-1,18,Contracting,,29.687499999999986,111.4,-1
443,JKTYRE,1,51,Contracting,,45.53571428571427,64.95,-1
444,MANGCHEFER,-1,13,Contracting,,30.15873015873018,35.25,-1
445,JUBILANT,1,72,Expanding,,64.21636615811373,795.0,0
446,SANGHVIMOV,1,45,Contracting,,46.301020408163275,64.05,-1
447,SELAN,-1,5,Contracting,,37.37244897959182,102.8,-1
448,SUVEN,-1,5,Contracting,,43.103448275862064,37.9,-1
449,KOTHARIPRO,-1,23,Expanding,,41.47217235188511,59.7,-1
450,IDEA,-1,13,Contracting,,36.36363636363635,8.4,-1
451,GENUSPOWER,-1,3,Contracting,,17.02127659574468,21.9,-1
452,ORIENTBELL,-1,5,Contracting,,41.79431072210069,73.85,-1
453,NRBBEARING,-1,4,Contracting,,34.114583333333385,77.75,-1
454,BAYERCROP,,,,,,5553.3,-1
455,RELAXO,-1,33,Contracting,,13.76440460947515,595.2,-1
456,SHILPAMED,1,18,Expanding,,49.872854418308954,550.1,0
457,STERTOOLS,1,41,Contracting,,36.31178707224333,170.9,-1
458,KRBL,1,44,Expanding,,45.936639118457315,270.55,0
459,IOC,1,10,Contracting,,54.800000000000004,88.45,-1
460,BALAMINES,1,75,Contracting,,45.84553028597159,570.45,-1
461,OMMETALS,,,,,,0.0,0
462,PATELENG,-1,7,Contracting,,18.918918918918905,13.9,-1
463,ALICON,-1,4,Contracting,,23.61233480176209,248.15,-1
464,EMAMILTD,1,40,Contracting,,54.227405247813394,239.85,-1
465,NUCLEUS,1,51,Expanding,,70.12313674659757,299.15,0
466,MANAPPURAM,1,67,Contracting,,56.43300798580301,158.5,-1
467,VSTTILLERS,1,71,Contracting,,57.72755039706781,1348.65,-1
468,CONCOR,1,45,Contracting,,60.0734843845683,451.1,-1
469,PANACEABIO,1,9,Expanding,,50.46367851622874,215.4,0
470,TNPL,1,44,Contracting,,39.96023856858851,112.8,-1
471,SHAKTIPUMP,,,,,,0.0,0
472,MOHITIND,,,,,,0.0,0
473,MADHUCON,,,,,,0.0,0
474,RAJESHEXPO,-1,109,Contracting,,26.69811320754718,456.65,-1
475,EVEREADY,1,136,Expanding,,83.85245901639344,131.05,-1
476,HATSUN,1,58,Contracting,,47.25437815375483,662.1,-1
477,JINDWORLD,-1,3,Contracting,,8.658008658008697,44.5,-1
478,SOMANYCERA,1,5,Expanding,,49.86842105263158,129.05,0
479,CGCL,1,3,Expanding,,48.39400428265524,204.0,0
480,FDC,1,10,Expanding,,62.69727403156386,299.15,0
481,MARICO,1,79,Expanding,,61.9582664526485,363.45,0
482,VIDHIING,1,46,Contracting,,29.569892473118358,70.15,-1
483,PRAENG,-1,17,Expanding,,39.99999999999999,6.0,-1
484,POLYMED,1,57,Contracting,,74.60711331679073,390.2,-1
485,ATULAUTO,-1,5,Contracting,,40.69912609238453,155.8,-1
486,AMBIKCO,-1,16,Expanding,,41.01032047800103,656.55,-1
487,SWELECTES,-1,4,Contracting,,30.158730158730165,100.2,-1
488,MUKANDENGG,,,,,,0.0,0
489,HEXAWARE,1,44,Expanding,,83.02325581395351,381.55,-1
490,BANKBARODA,-1,6,Contracting,,23.843416370106738,46.8,-1
491,SKMEGGPROD,1,7,Expanding,,46.55172413793104,35.5,0
492,WELCORP,1,43,Expanding,,46.54788418708245,87.8,0
493,BANKINDIA,-1,5,Contracting,,33.80281690140848,47.05,-1
494,INDRAMEDCO,1,45,Expanding,,64.74820143884892,56.35,0
495,GAIL,-1,5,Contracting,,37.542662116040916,96.65,-1
496,VAIBHAVGBL,1,74,Contracting,,52.03646237393329,1338.4,-1
497,JKPAPER,-1,8,Contracting,,19.417475728155367,94.15,-1
498,SAREGAMA,1,59,Expanding,,60.16899766899767,481.55,0
499,MADRASFERT,-1,12,Contracting,,34.51327433628319,17.45,-1
500,CYBERTECH,1,11,Expanding,,61.8,47.75,0
501,ICICIBANK,-1,2,Contracting,,40.551667352820104,346.8,-1
502,CYIENT,1,40,Expanding,,85.089058524173,330.0,-1
503,ENGINERSIN,-1,11,Contracting,,23.863636363636374,64.25,-1
504,CORPBANK,,,,,,0.0,0
505,DHANBANK,-1,12,Contracting,,28.787878787878782,12.65,-1
506,GMDCLTD,-1,3,Contracting,,47.177419354838726,41.0,-1
507,INDUSINDBK,1,40,Contracting,,33.76585928489044,523.75,-1
508,J&KBANK,-1,8,Contracting,,20.000000000000014,15.8,-1
509,CUB,-1,14,Contracting,,33.425414364640886,121.2,-1
510,AXISBANK,1,42,Contracting,,43.762320473106186,431.65,-1
511,SOUTHBANK,-1,9,Contracting,Hammer SL:6.8,22.72727272727272,6.9,-1
512,SONATSOFTW,1,45,Expanding,,67.42983751846383,263.9,0
513,NATIONALUM,-1,2,Contracting,,30.87248322147653,32.75,-1
514,INDNIPPON,-1,8,Contracting,,26.42487046632121,267.5,-1
515,NSIL,-1,7,Contracting,,41.88783174762147,652.9,-1
516,SYNDIBANK,,,,,,0.0,0
517,HCLTECH,1,22,Expanding,,87.11837171933581,705.2,-1
518,GEOJITFSL,1,43,Contracting,,46.07594936708862,34.8,-1
519,JINDALSTEL,1,56,Contracting,,71.21338912133893,184.85,-1
520,GLENMARK,1,2,Expanding,,58.52324521422061,452.35,0
521,WOCKPHARMA,1,1,Expanding,,46.89873417721521,276.0,0
522,TATACOFFEE,1,4,Expanding,,39.05817174515234,90.55,1
523,SHREERAMA,1,7,Expanding,Bull Marubozo|SL:4.75,50.0,5.25,0
524,MAHLIFE,-1,5,Contracting,,43.65284974093267,210.6,-1
525,CADILAHC,1,11,Expanding,,51.6082916368835,388.4,0
526,AJANTPHARM,1,8,Expanding,,54.5936196595649,1629.2,0
527,COMPUSOFT,,,,,,0.0,0
528,TVSMOTOR,1,49,Contracting,,63.70320855614974,387.5,-1
529,GATI,-1,4,Contracting,,25.547445255474443,42.95,-1
530,TCI,1,10,Contracting,,47.304582210242586,173.3,-1
531,SUBEX,,,,,,0.0,0
532,AKSHOPTFBR,,,,,,0.0,0
533,TRIVENI,1,50,Contracting,,34.34343434343431,54.2,-1
534,MUKTAARTS,,,,,,0.0,0
535,PNBGILTS,1,47,Expanding,,65.73426573426569,42.9,0
536,RAMCOIND,1,42,Contracting,,53.086419753086425,170.25,-1
537,RAMCOSYS,1,9,Expanding,,72.6218097447796,140.65,0
538,STRTECH,-1,2,Contracting,,46.04221635883905,121.75,-1
539,BALAJITELE,1,75,Contracting,,50.439146800501874,87.6,-1
540,IOB,-1,5,Contracting,,38.09523809523806,10.35,-1
541,TAJGVK,-1,15,Expanding,,29.67836257309945,142.2,-1
542,AXISCADES,1,41,Contracting,,24.074074074074076,53.35,-1
543,ANDHRABANK,,,,,,0.0,0
544,SMARTLINK,-1,13,Contracting,,45.78947368421054,67.05,-1
545,GODREJCP,1,54,Contracting,,41.1798396334479,691.85,-1
546,BFUTILITIE,1,41,Contracting,,61.646398503274085,218.45,-1
547,MPSLTD,1,40,Expanding,,63.358419567262445,363.25,0
548,CERA,1,9,Contracting,,52.662406815761315,2228.85,-1
549,BHARTIARTL,-1,6,Contracting,,45.161290322580676,554.85,-1
550,PONNIERODE,1,8,Contracting,,47.83861671469741,151.9,-1
551,PNB,-1,12,Contracting,,18.46153846153844,31.95,-1
552,OFSS,1,67,Contracting,,59.45434100727941,2937.9,-1
553,APTECHT,1,19,Contracting,,46.06345475910692,109.6,-1
554,UNIONBANK,-1,8,Contracting,,24.305555555555586,29.0,-1
555,ISMTLTD,,,,,,0.0,0
556,GRANULES,1,52,Contracting,,80.54794520547946,273.3,-1
557,CANBK,-1,7,Contracting,,22.70114942528737,101.85,-1
558,DIVISLAB,1,7,Expanding,,76.23188405797102,2616.55,0
559,ALBK,,,,,,0.0,0
560,UBL,-1,12,Contracting,,22.96636085626919,951.65,-1
561,ASTRAMICRO,1,53,Contracting,,41.631355932203405,106.3,-1
562,RADICO,1,57,Contracting,,52.242152466367685,368.5,-1
563,SHRIRAMCIT,-1,4,Contracting,,35.04587155963303,656.75,-1
564,MARUTI,1,49,Expanding,,61.22204613488291,6262.75,0
565,UCOBANK,1,2,Expanding,,43.18181818181816,14.05,0
566,BAGFILMS,,,,,,0.0,0
567,SUPRAJIT,1,42,Contracting,,41.08391608391613,152.6,-1
568,IGL,-1,31,Expanding,,43.66960054163847,403.7,-1
569,TVTODAY,1,42,Contracting,,35.12880562060893,203.25,-1
570,PETRONET,-1,7,Contracting,,27.294493216280912,247.85,-1
571,BIOCON,-1,2,Contracting,,52.34449760765549,409.6,-1
572,PTC,1,38,Expanding,,60.8108108108108,51.75,0
573,MAHABANK,1,9,Expanding,,46.46464646464645,12.15,0
574,STAR,1,3,Expanding,,45.378619153674855,436.2,0
575,JPASSOCIAT,1,38,Expanding,,65.51724137931032,3.3,0
576,ULTRACEMCO,1,11,Expanding,,73.35782195332764,4117.3,0
577,MINDAIND,-1,4,Contracting,,31.85755534167464,287.35,-1
578,TCS,1,68,Expanding,,61.02923976608182,2281.4,0
579,NIITTECH,1,26,Expanding,,75.47185709470847,1926.2,0
580,DATAMATICS,1,11,Contracting,,59.35828877005347,51.9,-1
581,RKFORGE,-1,24,Contracting,,21.31661442006265,144.95,-1
582,CENTURYPLY,1,31,Contracting,,24.159999999999982,128.45,-1
583,NTPC,-1,22,Expanding,,38.16568047337271,87.0,-1
584,JBMA,-1,8,Contracting,,27.455121436113984,188.5,-1
585,DWARKESH,1,48,Contracting,,48.52941176470586,24.15,-1
586,INDOCO,1,2,Expanding,,58.357771260997076,226.55,0
587,XCHANGING,1,12,Expanding,,68.21192052980132,48.2,0
588,MORARJEE,-1,13,Contracting,,17.39130434782612,8.95,-1
589,GDL,,,,,,0.0,0
590,JPPOWER,1,44,Expanding,,58.82352941176471,2.2,0
591,GOKEX,1,44,Expanding,,52.5879917184265,43.25,0
592,ALLSEC,1,2,Contracting,,55.635319454414926,192.55,-1
593,IIFL,-1,5,Contracting,,30.06263048016703,67.35,-1
594,SHOPERSTOP,-1,24,Expanding,,41.20370370370371,158.05,-1
595,NDL,-1,7,Contracting,,39.09090909090909,19.8,-1
596,JSWHL,-1,5,Contracting,,28.76457454725876,1770.45,-1
597,JKCEMENT,1,57,Contracting,,62.488493402884345,1500.05,-1
598,YESBANK,-1,30,Contracting,,8.63095238095238,11.95,-1
599,NECLIFE,-1,11,Expanding,,32.06751054852319,20.8,-1
600,SPLIL,-1,10,Contracting,,32.36994219653178,26.5,-1
601,KTKBANK,-1,3,Contracting,,32.33830845771142,41.85,-1
602,MCLEODRUSS,,,,,,0.0,0
603,IDFC,1,4,Contracting,,33.9622641509434,19.0,-1
604,VIVIMEDLAB,,,,,,0.0,0
605,RML,-1,13,Contracting,,36.49825783972125,200.85,-1
606,HTMEDIA,-1,14,Expanding,,41.1764705882353,12.45,-1
607,SASKEN,1,44,Expanding,,56.85736677115985,542.7,0
608,SUZLON,-1,7,Contracting,,33.33333333333336,4.3,-1
609,AURIONPRO,-1,7,Contracting,,53.84615384615384,46.35,-1
610,RENUKA,-1,9,Contracting,,30.13698630136986,8.75,-1
611,KMSUGAR,-1,5,Contracting,,37.93103448275864,8.45,-1
612,BASML,-1,14,Contracting,,27.251732101616653,79.85,-1
613,AIAENG,1,16,Contracting,,53.532486930545204,1654.15,-1
614,EKC,1,41,Contracting,,51.10132158590311,21.05,-1
615,REPRO,-1,12,Contracting,,45.65769426104624,374.85,-1
616,CELEBRITY,-1,21,Contracting,,33.33333333333336,4.2,-1
617,NITINSPIN,-1,1,Contracting,,56.27906976744187,37.75,-1
618,ROHLTD,1,45,Expanding,,26.069246435845216,63.9,0
619,ENIL,-1,21,Expanding,,37.41134751773046,124.85,-1
620,GSPL,-1,16,Contracting,,36.41304347826086,204.75,-1
621,JAGRAN,-1,14,Contracting,,40.8163265306122,38.35,-1
622,SADBHAV,-1,3,Contracting,,41.379310344827594,42.75,-1
623,RCOM,,,,,,0.0,0
624,KEC,1,62,Contracting,,55.29122231337164,274.95,-1
625,SAKUMA,,,,,,0.0,0
626,GILLANDERS,,,,,,0.0,0
627,INDOTECH,-1,12,Contracting,,37.408312958435225,93.8,-1
628,BLKASHYAP,1,39,Contracting,,61.36363636363635,5.55,-1
629,M&MFIN,,,,,,0.0,0
630,NITCO,-1,7,Contracting,,39.130434782608724,16.15,-1
631,SOLARINDS,1,45,Contracting,,63.128772635814826,1016.0,-1
632,UTTAMSUGAR,-1,6,Contracting,,35.98971722365039,73.25,-1
633,SUNTV,-1,16,Expanding,,47.7824267782427,386.9,-1
634,GPIL,1,44,Contracting,,55.13307984790876,170.65,-1
635,EMKAY,-1,4,Contracting,,28.92561983471073,43.1,-1
636,LOKESHMACH,-1,3,Contracting,,34.60076045627376,22.2,-1
637,PFOCUS,1,3,Expanding,,57.60869565217389,25.45,0
638,ALLCARGO,1,44,Contracting,,48.155737704918025,93.65,-1
639,VOLTAMP,-1,11,Contracting,,24.391294979530258,1031.7,-1
640,ATLANTA,-1,2,Contracting,,39.99999999999999,9.25,-1
641,DEEPIND,-1,4,Contracting,,26.485148514851446,69.4,-1
642,HOVS,-1,13,Contracting,,28.048780487804876,34.05,-1
643,ACE,-1,4,Contracting,,27.97927461139895,56.35,-1
644,GEECEE,-1,3,Contracting,,44.48669201520914,66.35,-1
645,GAYAPROJ,,,,,,0.0,0
646,GMRINFRA,1,7,Expanding,,65.54054054054055,21.75,0
647,MAHINDCIE,-1,6,Contracting,,34.11602209944749,108.5,-1
648,TECHM,1,22,Expanding,,78.10818465024073,681.65,0
649,FIEMIND,1,44,Contracting,,31.57248157248158,413.85,-1
650,DCBBANK,-1,3,Contracting,,27.192982456140314,77.4,-1
651,SHIVAMAUTO,,,,,,0.0,0
652,NAUKRI,1,47,Contracting,,68.33621873320995,3194.45,-1
653,ZEEMEDIA,,,,,,0.0,0
654,LUMAXTECH,1,45,Contracting,,50.64194008559201,95.65,-1
655,NETWORK18,1,73,Contracting,,55.06172839506172,40.65,-1
656,HUBTOWN,-1,11,Contracting,,17.64705882352942,10.55,-1
657,TV18BRDCST,-1,1,Contracting,,49.035812672176306,33.35,-1
658,TIIL,-1,11,Contracting,,21.612149532710305,221.65,-1
659,REDINGTON,-1,2,Contracting,,41.13597246127367,90.5,-1
660,CINELINE,1,5,Expanding,,36.318407960199,23.9,1
661,FSL,1,44,Expanding,,75.08650519031141,48.85,0
662,PGIL,1,7,Expanding,,56.790123456790106,114.9,0
663,AHLUCONT,1,40,Contracting,,48.19175777964675,217.1,-1
664,PFC,-1,16,Contracting,,35.258358662613986,80.85,-1
665,INDIANB,-1,6,Contracting,,20.80536912751674,58.45,-1
666,SMSPHARMA,1,46,Contracting,,74.71451876019576,75.15,-1
667,MINDTREE,1,67,Expanding,,72.42199894235854,1083.4,0
668,IDEA,,,,,,8.4,-1
669,PAGEIND,-1,10,Expanding,,43.1231091459158,19818.25,-1
670,AMDIND,-1,18,Contracting,,28.33333333333333,13.8,-1
671,ASTRAL,1,1,Expanding,,40.54194893173525,964.5,0
672,IBREALEST,-1,5,Contracting,,25.217391304347828,50.3,-1
673,CAMLINFINE,1,45,Expanding,,65.88021778584391,74.15,0
674,ICRA,-1,1,Contracting,,53.1988873435327,2509.6,-1
675,DISHTV,-1,8,Contracting,,23.80952380952384,7.2,-1
676,SRHHYPOLTD,1,47,Contracting,,58.985429033998926,152.75,-1
677,FORTIS,1,37,Expanding,,77.20207253886015,138.0,0
678,TGBHOTELS,,,,,,0.0,0
679,DELTACORP,-1,6,Contracting,,30.13333333333337,86.0,-1
680,INSECTICID,-1,19,Contracting,,53.11837081035217,416.4,-1
681,MCDHOLDING,1,7,Contracting,,54.02298850574715,24.8,-1
682,ASAHISONG,1,46,Contracting,,70.42842215256007,209.45,-1
683,TIMETECHNO,-1,1,Contracting,,41.59292035398234,36.6,-1
684,HGS,1,45,Expanding,,56.79611650485433,809.6,0
685,NELCAST,1,43,Contracting,,54.47316103379721,48.7,-1
686,MEGH,1,47,Contracting,,41.688654353562,59.45,-1
687,DLF,-1,18,Expanding,,42.03821656050959,141.15,-1
688,TARMAT,1,42,Expanding,Hanging Man SL:34.0,65.78171091445427,33.9,0
689,SPARC,1,46,Expanding,,62.127236580516914,176.1,0
690,OMAXE,-1,24,Expanding,,38.02541544477029,83.65,-1
691,CENTRALBK,1,9,Expanding,,51.5625,17.95,0
692,KPRMILL,-1,13,Contracting,,9.201141226818805,419.3,-1
693,ASIANTILES,1,38,Contracting,,71.96202531645568,241.65,-1
694,TAKE,-1,31,Expanding,,30.120481927710813,42.45,-1
695,PURVA,-1,5,Contracting,,33.3333333333333,40.8,-1
696,MOTILALOFS,1,46,Contracting,,53.23686214775324,681.5,-1
697,POWERGRID,1,7,Expanding,,58.961681087762656,178.3,0
698,KSCL,1,71,Contracting,,48.19311123658951,604.3,-1
699,MAANALU,-1,6,Contracting,,16.753926701570634,51.1,-1
700,RELIGARE,1,9,Contracting,,41.90751445086706,37.55,-1
701,ADANIPORTS,-1,15,Expanding,,30.99460292983808,315.2,-1
702,EDELWEISS,1,30,Expanding,,74.70039946737684,76.05,0
703,KOLTEPATIL,-1,16,Contracting,,34.48844884488447,137.55,-1
704,JYOTHYLAB,1,43,Contracting,,49.90138067061144,123.2,-1
705,ECLERX,1,32,Contracting,,51.13341968911917,480.05,-1
706,TRIL,-1,1,Contracting,,38.129496402877706,10.2,-1
707,BRIGADE,1,41,Contracting,,54.733218588640284,140.45,-1
708,BGRENERGY,,,,,,0.0,0
709,MANAKSIA,-1,22,Expanding,,58.088235294117666,34.45,-1
710,PPAP,-1,24,Contracting,,33.402922755741145,159.9,-1
711,ARIES,-1,21,Expanding,,37.07865168539324,59.95,-1
712,RPOWER,-1,4,Contracting,,34.21052631578948,3.3,-1
713,JKIL,-1,10,Expanding,,38.576158940397335,95.9,-1
714,CORDSCABLE,-1,13,Contracting,,31.063829787234056,32.85,-1
715,KNRCON,-1,14,Contracting,,38.64734299516909,210.6,-1
716,ONMOBILE,1,5,Expanding,,49.60629921259842,29.25,0
717,SHRIRAMEPC,-1,18,Contracting,Bear Marubozo|SL:3.65,41.02564102564104,3.55,-1
718,IRB,,,,,,0.0,0
719,GSS,-1,15,Expanding,,21.348314606741596,23.3,-1
720,NAHARCAP,-1,12,Contracting,,17.52988047808759,61.15,-1
721,VGUARD,-1,33,Contracting,,26.356589147286797,162.85,-1
722,RECLTD,-1,5,Contracting,,29.867256637168154,100.15,-1
723,GAMMNINFRA,,,,,,0.0,0
724,TWL,1,41,Contracting,,46.85314685314683,39.05,-1
725,KIRIINDUS,1,50,Contracting,,59.14429530201344,493.15,-1
726,BAJAJFINSV,1,43,Contracting,,44.232327050818185,6205.9,-1
727,BAJAJ-AUTO,1,73,Contracting,,74.10127991096266,3004.95,-1
728,RPGLIFE,1,51,Expanding,,69.00482244629548,326.65,0
729,RBL,-1,1,Contracting,,36.89931350114414,520.7,-1
730,RANEENGINE,-1,13,Contracting,,25.062034739454134,188.3,-1
731,ARCHIDPLY,1,45,Contracting,,48.18181818181819,26.65,-1
732,LPDC,,,,,,0.0,0
733,SICAGEN,-1,16,Contracting,,34.57943925233644,12.0,-1
734,20MICRONS,-1,8,Contracting,,34.857142857142875,28.6,-1
735,WABCOINDIA,1,54,Expanding,,72.83288650580855,6959.65,0
736,ALKALI,-1,9,Contracting,,34.18181818181817,43.35,-1
737,IMFA,1,58,Contracting,,44.353182751540054,170.95,-1
738,ARROWTEX,,,,,,0.0,0
739,MHRIL,-1,13,Contracting,,20.422535211267586,157.7,-1
740,NHPC,1,3,Expanding,,53.571428571428626,20.3,0
741,GLOBUSSPR,-1,2,Contracting,,39.6516393442623,124.95,-1
742,OIL,1,6,Contracting,,40.85510688836102,96.65,-1
743,RTNPOWER,-1,3,Contracting,,38.46153846153845,2.1,-1
744,DEN,1,72,Contracting,,59.06313645621182,78.3,-1
745,ASTEC,1,64,Contracting,,59.717781942453975,939.0,-1
746,COX&KINGS,,,,,,0.0,0
747,DLINKINDIA,-1,1,Contracting,,45.977011494252906,85.6,-1
748,JSWENERGY,-1,14,Expanding,,38.07531380753138,45.9,-1
749,GODREJPROP,1,45,Contracting,,47.59302628155087,926.6,-1
750,DBCORP,-1,4,Contracting,,38.77952755905513,72.95,-1
751,JUBLFOOD,1,2,Expanding,,58.73523145458066,1720.45,0
752,VASCONEQ,-1,14,Contracting,,33.3333333333333,8.2,-1
753,THANGAMAYL,1,9,Expanding,,69.06437320823561,320.1,0
754,EMMBI,1,6,Expanding,Hanging Man SL:72.9,58.73015873015874,71.95,0
755,HATHWAY,,,,,,0.0,0
756,TEXMOPIPES,-1,11,Contracting,,21.0526315789474,12.2,-1
757,SUNDARAM,,,,,,0.0,0
758,ROSSELLIND,1,46,Contracting,,45.329670329670364,75.85,-1
759,MANINFRA,-1,18,Expanding,,33.663366336633686,17.9,-1
760,UNITEDBNK,,,,,,0.0,0
761,PERSISTENT,1,58,Expanding,,78.88124439126533,918.1,0
762,ISFT,,,,,,0.0,0
763,KCPSUGIND,-1,4,Contracting,,44.68085106382979,14.1,-1
764,KECL,-1,11,Contracting,,23.076923076923066,9.85,-1
765,TALWALKARS,,,,,,0.0,0
766,SJVN,1,32,Contracting,,44.11764705882355,22.05,-1
767,HMVL,-1,4,Contracting,,35.21126760563379,45.6,-1
768,AHLEAST,-1,3,Contracting,,46.464646464646485,140.3,-1
769,GPPL,-1,2,Contracting,,41.860465116279116,74.95,-1
770,WELINV,1,47,Contracting,,42.12055192447349,214.05,-1
771,EROSMEDIA,1,45,Contracting,,53.225806451612925,18.3,-1
772,RAMKY,1,6,Contracting,,51.66666666666666,35.55,-1
773,CAREERP,-1,29,Expanding,,41.42292490118577,138.2,-1
774,CANTABIL,1,40,Contracting,,57.15948777648425,293.35,-1
775,WABAG,1,10,Contracting,,57.068062827225134,114.45,-1
776,ASHOKA,-1,12,Contracting,,13.333333333333343,50.55,-1
777,OBEROIRLTY,-1,1,Contracting,,48.85262621111677,349.9,-1
778,PRESTIGE,-1,14,Expanding,,46.547619047619065,196.9,-1
779,COALINDIA,-1,23,Contracting,,39.36170212765955,129.25,-1
780,GRAVITA,1,43,Contracting,,62.135922330097095,45.95,-1
781,RPPINFRA,-1,13,Contracting,,11.36363636363636,51.95,-1
782,MOIL,-1,8,Contracting,,46.03174603174603,143.35,-1
783,ZEELEARN,-1,14,Contracting,,25.27472527472527,13.5,-1
784,KTIL,,,,,,0.0,0
785,A2ZINFRA,-1,13,Contracting,,29.545454545454547,4.0,-1
786,KIRLOSENG,-1,1,Contracting,,36.43410852713178,105.45,-1
787,PSB,-1,22,Expanding,,40.00000000000002,13.4,-1
788,FMNL,1,1,Expanding,,49.42528735632183,24.85,0
789,KICL,-1,2,Contracting,,49.88073151338456,1267.25,-1
790,BFINVEST,-1,1,Contracting,,52.06276891926094,297.45,-1
791,OMKARCHEM,,,,,,0.0,0
792,JUBLINDS,1,4,Expanding,,42.96296296296293,106.6,1
793,TEXRAIL,-1,5,Contracting,,37.638376383763834,26.15,-1
794,INDTERRAIN,-1,20,Contracting,,26.14379084967321,25.7,-1
795,FCL,1,78,Contracting,,43.715846994535525,30.05,-1
796,DHUNINV,1,45,Contracting,,32.718043377941854,202.5,-1
797,LOVABLE,-1,15,Contracting,,23.1818181818182,48.4,-1
798,PFS,1,44,Expanding,,64.51612903225806,17.65,0
799,MUTHOOTFIN,1,74,Contracting,,72.53489918014623,1273.8,-1
800,KARMAENG,-1,13,Contracting,,20.98765432098766,9.75,-1
801,WEIZFOREX,,,,,,0.0,0
802,RUSHIL,-1,22,Contracting,,28.707224334600753,100.9,-1
803,INVENTURE,1,39,Expanding,,83.72093023255816,17.4,-1
804,L&TFH,-1,12,Contracting,,20.754716981132077,60.0,-1
805,BROOKS,,,,,,0.0,0
806,RUPA,-1,12,Contracting,,9.550561797752763,151.45,-1
807,TDPOWERSYS,-1,9,Contracting,,31.31313131313125,99.65,-1
808,APLLTD,1,79,Contracting,,63.02044838630202,985.05,-1
809,VASWANI,,,,,,0.0,0
810,PGEL,-1,14,Expanding,,30.16949152542368,41.7,-1
811,UJAAS,-1,13,Contracting,,33.33333333333333,5.2,-1
812,ORIENTREF,1,45,Contracting,,57.20823798627,170.85,-1
813,MCX,1,68,Expanding,,82.04415234243345,1686.4,-1
814,SCHNEIDER,-1,29,Contracting,,8.550185873605898,73.65,-1
815,NBCC,-1,2,Contracting,,27.710843373493987,23.1,-1
816,MTEDUCARE,-1,12,Contracting,,23.214285714285694,12.55,-1
817,TBZ,1,44,Contracting,,62.373737373737384,33.2,-1
818,VSSL,,,,,,0.0,0
819,SPECIALITY,-1,14,Expanding,,18.095238095238074,31.75,-1
820,LYPSAGEMS,-1,18,Expanding,,42.10526315789472,3.0,-1
821,LAKSHVILAS,-1,5,Contracting,,31.446540880503136,19.8,-1
822,ZUARI,-1,14,Contracting,,12.631578947368425,84.1,-1
823,CARERATING,1,46,Contracting,,54.90716180371349,423.65,-1
824,PCJEWELLER,-1,14,Contracting,,38.461538461538446,14.85,-1
