,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
95,NAHARSPING,-1,15,Contracting,,38.54748603351951,32.15,-1
96,GRASIM,1,1,Expanding,,40.41916167664674,633.05,1
97,PEL,1,50,Contracting,,48.07774914089348,1473.4,-1
98,NIITLTD,1,74,Expanding,,43.60902255639098,96.75,0
99,ONGC,-1,24,Contracting,,40.58823529411769,78.3,-1
100,OILCOUNTUB,,,,,,0.0,0
101,ORIENTHOT,,,,,,0.0,0
102,ORIENTBANK,,,,,,0.0,0
103,RELIANCE,1,78,Contracting,,84.07233524604416,2067.1,-1
104,BIRLACORPN,1,4,Expanding,,54.44319460067493,599.25,0
105,PIDILITIND,-1,32,Contracting,,37.971334068357216,1357.0,-1
106,PRIMESECU,1,50,Contracting,,44.14414414414416,48.95,-1
107,RAYMOND,-1,18,Contracting,,27.955133735979345,239.1,-1
108,SURYAROSNI,1,43,Contracting,,40.320000000000014,113.55,-1
109,RSWM,-1,14,Contracting,,29.551451187335104,69.85,-1
110,RAMANEWS,1,32,Expanding,,52.554744525547456,16.6,0
111,RALLIS,1,77,Contracting,,72.62156448202957,290.7,-1
112,JINDALSAW,-1,9,Contracting,,21.453287197231845,54.7,-1
113,JKLAKSHMI,1,49,Contracting,,50.63538611925706,294.35,-1
114,SHREECEM,-1,7,Contracting,,40.64255994509501,21711.15,-1
115,RELINFRA,-1,4,Contracting,,33.491686460807614,27.85,-1
116,TATAPOWER,1,50,Contracting,,33.09859154929573,48.7,-1
117,SPMLINFRA,-1,14,Contracting,Bear Marubozo|SL:7.7,13.157894736842167,7.45,-1
118,SUNDRMFAST,1,44,Contracting,,67.01502286087525,415.95,-1
119,SUNFLAG,1,59,Contracting,,49.868766404199484,38.15,-1
120,SUPPETRO,1,74,Contracting,,46.69260700389107,182.35,-1
121,SWARAJENG,-1,2,Contracting,,45.756695708293,1349.6,-1
122,TATAELXSI,1,70,Expanding,,55.784469096671955,940.0,0
123,ACC,1,73,Expanding,,68.32766523732067,1425.45,0
124,THERMAX,-1,7,Contracting,,41.930501930501926,744.9,-1
125,TIRUMALCHM,-1,1,Contracting,,19.811320754716974,52.9,-1
126,THOMASCOOK,-1,2,Contracting,,40.625000000000014,29.4,-1
127,TOKYOPLAST,-1,14,Contracting,,30.68783068783074,58.2,-1
128,TORNTPHARM,1,1,Expanding,,50.44181518646089,2663.6,0
129,AMBUJACEM,1,71,Expanding,,69.14285714285714,220.1,0
130,VHL,1,41,Expanding,,72.14000469814424,1262.45,0
131,HINDALCO,1,65,Contracting,,57.84615384615382,163.1,-1
132,WSTCSTPAPR,-1,4,Contracting,,35.57504873294346,171.2,-1
133,MUKANDLTD,,,,,,0.0,0
134,UCALFUEL,1,9,Expanding,,62.48331108144193,127.5,0
135,HARRMALAYA,1,45,Expanding,,49.33155080213902,88.35,0
136,FEDERALBNK,1,44,Contracting,,48.57954545454545,53.9,-1
137,TATASTEEL,1,48,Expanding,,60.23880597014928,366.3,0
138,SKFINDIA,-1,9,Contracting,Bear Marubozo|SL:1510.0,13.401602849510311,1470.0,-1
139,ASHOKLEY,-1,2,Contracting,,39.99999999999998,48.65,-1
140,CUMMINSIND,1,4,Expanding,,40.4977375565611,401.65,0
141,TATACOMM,1,76,Expanding,,61.359511631743935,759.75,0
142,ABBOTINDIA,-1,51,Expanding,,36.90119903162465,15536.35,-1
143,BAJAJHLDNG,1,46,Contracting,,37.33266733266735,2656.1,-1
144,BHARATFORG,1,51,Contracting,,67.89755807027993,381.95,-1
145,ESCORTS,1,74,Contracting,,57.165335269910436,1134.0,-1
146,PGHH,1,25,Contracting,,37.27129426335639,10351.85,-1
147,LT,-1,13,Contracting,,34.28138035646565,913.45,-1
148,M&M,1,64,Contracting,,72.83005105762217,606.45,-1
149,BOSCHLTD,1,44,Contracting,,42.38932686476651,13078.65,-1
150,BPCL,1,45,Contracting,,62.11102813044562,413.8,-1
151,SIEMENS,1,28,Contracting,,43.11768754301446,1162.05,-1
152,TATAMOTORS,1,64,Contracting,,48.40255591054316,104.65,-1
153,VOLTAS,1,45,Expanding,,62.3270117888262,598.4,0
154,GESHIP,1,2,Expanding,,62.557077625570756,226.35,0
155,DEEPAKFERT,1,76,Expanding,,85.3813559322034,159.6,-1
156,EXCELINDUS,1,45,Contracting,,60.2920723226704,741.8,-1
157,GLAXO,-1,2,Contracting,,42.68464479774598,1437.3,-1
158,GNFC,1,43,Contracting,,42.45049504950496,164.25,-1
159,SANOFI,-1,21,Expanding,,46.159754224270294,7767.75,-1
160,GSKCONS,,,,,,0.0,0
161,PFIZER,1,17,Expanding,,61.71231851519234,4277.75,0
162,GSFC,1,44,Contracting,,54.64788732394366,59.5,-1
163,HINDUNILVR,1,42,Contracting,,52.45225182739916,2209.9,-1
164,AKZOINDIA,1,3,Expanding,,47.649034424853056,1898.95,0
165,NOCIL,1,21,Contracting,,56.936416184971115,105.1,-1
166,SPIC,1,44,Contracting,,39.160839160839146,21.0,-1
167,TATACHEM,1,2,Expanding,,38.161993769470385,305.7,0
168,TNPETRO,-1,2,Contracting,,29.354838709677438,34.2,-1
169,ZUARIGLOB,-1,12,Contracting,,20.333333333333343,47.9,-1
170,NESTLEIND,-1,2,Contracting,,55.85989641732081,16522.2,-1
171,ASIANPAINT,1,29,Contracting,,60.87141640647175,1715.5,-1
172,BRITANNIA,1,76,Contracting,,55.79593710547458,3823.6,-1
173,COLPAL,1,30,Expanding,,47.14587737843555,1423.3,0
174,EIHOTEL,-1,26,Expanding,,46.36871508379885,64.85,-1
175,INDHOTEL,-1,15,Contracting,,29.203539823008768,76.35,-1
176,CASTROLIND,-1,13,Contracting,,17.066666666666634,113.45,-1
177,ITC,-1,1,Contracting,,43.6661698956781,194.15,-1
178,APOLLOTYRE,-1,6,Contracting,,33.25688073394494,108.25,-1
179,CEATLTD,-1,14,Expanding,,32.8679696848823,868.95,-1
180,TCIFINANCE,,,,,,0.0,0
181,TATAINVEST,-1,11,Contracting,,15.309126594700615,732.25,-1
182,BBTC,,,,,,0.0,0
183,GREAVESCOT,-1,5,Contracting,,32.9177057356608,81.3,-1
184,SAGCEM,1,43,Expanding,,73.186119873817,485.45,0
185,DECCANCE,-1,11,Contracting,,31.513353115727014,254.25,-1
186,MANGLMCEM,-1,1,Contracting,,48.04772234273321,192.0,-1
187,NCLIND,1,40,Contracting,,51.3157894736842,79.05,-1
188,BALKRISIND,1,68,Expanding,,52.55423372988109,1322.05,0
189,ORIENTPPR,-1,14,Contracting,,13.559322033898368,18.0,-1
190,SESHAPAPER,-1,14,Contracting,,40.86687306501547,148.35,-1
191,SINTEX,,,,,,0.0,0
192,DCM,-1,12,Expanding,,46.896551724137936,18.9,-1
193,KESORAMIND,1,47,Contracting,,42.10526315789476,35.15,-1
194,VTL,-1,17,Expanding,,34.84304932735428,665.25,-1
195,PENINLAND,1,6,Expanding,,56.818181818181834,4.5,0
196,PHOENIXLTD,1,19,Expanding,,58.83644346871576,617.0,0
197,RUBYMILLS,-1,14,Contracting,,35.91433278418448,146.3,-1
198,SWANENERGY,-1,3,Contracting,,29.82171799027553,132.85,-1
199,BANSWRAS,-1,22,Expanding,,11.475409836065637,61.15,-1
200,SRF,1,45,Contracting,,19.994084590357886,3793.15,-1
201,SIYSIL,-1,5,Contracting,,37.621832358674425,129.45,-1
202,BBL,-1,4,Contracting,,32.023755139333005,746.3,-1
203,HIRECT,-1,18,Contracting,,32.71604938271602,112.05,-1
204,NIPPOBATRY,-1,8,Contracting,Hammer SL:490.1,18.722604884157732,497.6,-1
205,ZENSARTECH,1,48,Expanding,,81.82741116751268,159.95,-1
206,SARDAEN,-1,2,Contracting,,37.72290809327848,164.15,-1
207,INDIANHUME,1,45,Contracting,Hanging Man SL:169.9,44.48938321536907,165.35,-1
208,ORIENTABRA,-1,4,Contracting,,22.52252252252252,17.2,-1
209,TINPLATE,1,45,Contracting,,53.093434343434346,130.4,-1
210,AUTOAXLES,-1,12,Contracting,,33.94278973754052,517.9,-1
211,TALBROAUTO,-1,8,Contracting,,27.272727272727252,93.45,-1
212,SMLISUZU,-1,6,Contracting,,39.401394013940134,392.95,-1
213,TIL,-1,6,Contracting,,23.488773747841066,132.35,-1
214,DYNAMATECH,-1,15,Contracting,,29.292139225655077,530.8,-1
215,EICHERMOT,1,49,Expanding,,63.90069505852369,20638.7,0
216,NESCO,1,7,Expanding,,55.64409030544494,437.5,0
217,MANUGRAPH,,,,,,0.0,0
218,REVATHI,-1,1,Contracting,,50.280183392766176,386.25,-1
219,TEXINFRA,-1,12,Contracting,,17.129629629629633,35.4,-1
220,WENDT,-1,11,Contracting,,11.97873227689739,2442.7,-1
221,RESPONIND,1,21,Contracting,,56.74044265593564,95.75,-1
222,ZEEL,-1,18,Contracting,,18.592436974789905,138.75,-1
223,BHARATGEAR,-1,10,Contracting,,33.33333333333333,39.5,-1
224,ELECON,-1,6,Contracting,,19.718309859154957,24.65,-1
225,GABRIEL,-1,7,Contracting,,34.32835820895524,85.25,-1
226,HERCULES,1,45,Contracting,,53.36927223719677,78.6,-1
227,IFBIND,-1,15,Contracting,,29.803493449781683,371.15,-1
228,FMGOETZE,-1,25,Expanding,,33.64434687156974,361.8,-1
229,RANEHOLDIN,-1,1,Contracting,Bear Marubozo|SL:440.0,42.58804258804257,417.05,-1
230,TRF,1,11,Contracting,,45.25252525252526,77.15,-1
231,PRAKASH,-1,13,Contracting,,24.226804123711304,32.85,-1
232,GRINDWELL,-1,11,Contracting,,47.400302877334695,480.7,-1
233,GENESYS,-1,15,Contracting,,29.59183673469387,28.75,-1
234,VIVIDHA,,,,,,0.0,0
235,BLISSGVS,1,17,Contracting,,69.02356902356895,107.3,-1
236,ALEMBICLTD,1,77,Contracting,,49.73166368515207,79.2,-1
237,BAYERCROP,-1,2,Contracting,,36.1218657817109,5553.3,-1
238,COROMANDEL,1,69,Contracting,,56.5387117761874,780.1,-1
239,KANORICHEM,-1,4,Contracting,,22.388059701492537,33.25,-1
240,PHILIPCARB,-1,1,Contracting,,24.710424710424675,96.2,-1
241,PUNJABCHEM,-1,11,Contracting,,35.75794621026894,446.55,-1
242,SUDARSCHEM,-1,7,Expanding,,20.9602954755309,409.35,-1
243,UNICHEMLAB,1,38,Expanding,,67.57912745936694,235.1,0
244,ALKYLAMINE,1,76,Contracting,,46.73760289098574,2249.2,-1
245,ASTRAZEN,-1,4,Contracting,,34.40697869484987,3336.95,-1
246,JBCHEPHARM,1,74,Expanding,,64.94960806270998,734.2,0
247,TI,-1,1,Contracting,,45.19230769230769,17.35,-1
248,WALCHANNAG,-1,1,Contracting,,28.7917737789203,51.1,-1
249,GMBREW,-1,24,Contracting,,18.284106891701825,374.85,-1
250,IVP,1,6,Expanding,,63.834422657952075,45.45,0
251,WIPRO,1,50,Expanding,,85.15671200473095,280.95,-1
252,DHANUKA,1,78,Contracting,,62.88946910356834,792.0,-1
253,JAGSNPHARM,-1,3,Contracting,,11.036789297658856,34.4,-1
254,GILLETTE,1,25,Contracting,,43.49750968456007,5017.55,-1
255,VIPIND,1,43,Contracting,,58.53932584269662,270.6,-1
256,COSMOFILMS,1,73,Contracting,,70.27546444586804,415.25,-1
