,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
35,MRPL,1,9,Expanding,,43.778801843317964,36.4,1
47,ESABINDIA,1,1,Expanding,,22.34894443096337,1392.05,1
96,GRASIM,1,1,Expanding,,40.41916167664674,633.05,1
352,TRIDENT,1,3,Expanding,,40.740740740740726,6.7,1
522,TATACOFFEE,1,4,Expanding,,39.05817174515234,90.55,1
660,CINELINE,1,5,Expanding,,36.318407960199,23.9,1
792,JUBLINDS,1,4,Expanding,,42.96296296296293,106.6,1
858,DENORA,1,1,Expanding,,42.10139603232916,231.5,1
